hkl,h,k,l,E_B_min
[-5  9  5],-5,9,5,19695.652125951943
[-7  9  1],-7,9,1,19695.652125951943
[-5  5  9],-5,5,9,19695.652125951943
[-5  9 -5],-5,9,-5,19695.652125951943
[-1 -9  7],-1,-9,7,19695.652125951943
[-1 -9 -7],-1,-9,-7,19695.652125951943
[-5 -9  5],-5,-9,5,19695.652125951943
[-5 -5 -9],-5,-5,-9,19695.652125951943
[-9  5  5],-9,5,5,19695.652125951943
[-7  1 -9],-7,1,-9,19695.652125951943
[-9  1  7],-9,1,7,19695.652125951943
[-9 -7 -1],-9,-7,-1,19695.652125951943
[-7 -1  9],-7,-1,9,19695.652125951943
[-7  1  9],-7,1,9,19695.652125951943
[-5 -5  9],-5,-5,9,19695.652125951943
[-8  6  6],-8,6,6,20068.003647644637
[  0 -10  -6],0,-10,-6,20068.003647644637
[-10   0   6],-10,0,6,20068.003647644637
[-6  8 -6],-6,8,-6,20068.003647644637
[-6 -6  8],-6,-6,8,20068.003647644637
[-8 -6 -6],-8,-6,-6,20068.003647644637
[-10   0  -6],-10,0,-6,20068.003647644637
[-10  -6   0],-10,-6,0,20068.003647644637
[  0 -10   6],0,-10,6,20068.003647644637
[-6 -8 -6],-6,-8,-6,20068.003647644637
[ 0 -6 10],0,-6,10,20068.003647644637
[-6 -8  6],-6,-8,6,20068.003647644637
[-8  6 -6],-8,6,-6,20068.003647644637
[-6  6 -8],-6,6,-8,20068.003647644637
[-8 -6  6],-8,-6,6,20068.003647644637
[-6 10  0],-6,10,0,20068.003647644637
[ -6   0 -10],-6,0,-10,20068.003647644637
[  0  -6 -10],0,-6,-10,20068.003647644637
[ -6 -10   0],-6,-10,0,20068.003647644637
[-6 -6 -8],-6,-6,-8,20068.003647644637
[-6  0 10],-6,0,10,20068.003647644637
[-6  8  6],-6,8,6,20068.003647644637
[-6  6  8],-6,6,8,20068.003647644637
[-10   6   0],-10,6,0,20068.003647644637
[-3  9 -7],-3,9,-7,20288.134587563643
[-9 -3  7],-9,-3,7,20288.134587563643
[-3  7  9],-3,7,9,20288.134587563643
[-9  7  3],-9,7,3,20288.134587563643
[-3  9  7],-3,9,7,20288.134587563643
[-9  7 -3],-9,7,-3,20288.134587563643
[-3  7 -9],-3,7,-9,20288.134587563643
[-9  3  7],-9,3,7,20288.134587563643
[-7  3 -9],-7,3,-9,20288.134587563643
[-7 -9  3],-7,-9,3,20288.134587563643
[-9  3 -7],-9,3,-7,20288.134587563643
[-9 -7 -3],-9,-7,-3,20288.134587563643
[-7 -9 -3],-7,-9,-3,20288.134587563643
[-3 -7  9],-3,-7,9,20288.134587563643
[-7  3  9],-7,3,9,20288.134587563643
[-3 -7 -9],-3,-7,-9,20288.134587563643
[-9 -7  3],-9,-7,3,20288.134587563643
[-7 -3 -9],-7,-3,-9,20288.134587563643
[-3 -9 -7],-3,-9,-7,20288.134587563643
[-9 -3 -7],-9,-3,-7,20288.134587563643
[-7  9  3],-7,9,3,20288.134587563643
[-7  9 -3],-7,9,-3,20288.134587563643
[-3 -9  7],-3,-9,7,20288.134587563643
[-7 -3  9],-7,-3,9,20288.134587563643
[-8  4 -8],-8,4,-8,20649.80539323457
[-8 -4  8],-8,-4,8,20649.80539323457
[-4  8  8],-4,8,8,20649.80539323457
[-8 -4 -8],-8,-4,-8,20649.80539323457
[-8  4  8],-8,4,8,20649.80539323457
[-4 -8 -8],-4,-8,-8,20649.80539323457
[-8 -8 -4],-8,-8,-4,20649.80539323457
[-8 -8  4],-8,-8,4,20649.80539323457
[-8  8  4],-8,8,4,20649.80539323457
[-8  8 -4],-8,8,-4,20649.80539323457
[-4 -8  8],-4,-8,8,20649.80539323457
[-4  8 -8],-4,8,-8,20649.80539323457
[-7  7  7],-7,7,7,20863.79872937038
[-7 -7  7],-7,-7,7,20863.79872937038
[-7  7 -7],-7,7,-7,20863.79872937038
[-7 -7 -7],-7,-7,-7,20863.79872937038
[ -4  -6 -10],-4,-6,-10,21215.658254106573
[-6 10  4],-6,10,4,21215.658254106573
[-4  6 10],-4,6,10,21215.658254106573
[ -4   6 -10],-4,6,-10,21215.658254106573
[ -4 -10  -6],-4,-10,-6,21215.658254106573
[-4 -6 10],-4,-6,10,21215.658254106573
[ -4 -10   6],-4,-10,6,21215.658254106573
[-10   6  -4],-10,6,-4,21215.658254106573
[ -6 -10   4],-6,-10,4,21215.658254106573
[-10   4   6],-10,4,6,21215.658254106573
[-10   4  -6],-10,4,-6,21215.658254106573
[-10   6   4],-10,6,4,21215.658254106573
[-6 10 -4],-6,10,-4,21215.658254106573
[ -6 -10  -4],-6,-10,-4,21215.658254106573
[-10  -4  -6],-10,-4,-6,21215.658254106573
[-4 10  6],-4,10,6,21215.658254106573
[-4 10 -6],-4,10,-6,21215.658254106573
[ -6   4 -10],-6,4,-10,21215.658254106573
[ -6  -4 -10],-6,-4,-10,21215.658254106573
[-10  -4   6],-10,-4,6,21215.658254106573
[-6  4 10],-6,4,10,21215.658254106573
[-10  -6  -4],-10,-6,-4,21215.658254106573
[-10  -6   4],-10,-6,4,21215.658254106573
[-6 -4 10],-6,-4,10,21215.658254106573
[-5 -7 -9],-5,-7,-9,21424.00032198138
[-9  7 -5],-9,7,-5,21424.00032198138
[-5  9  7],-5,9,7,21424.00032198138
[-9  5 -7],-9,5,-7,21424.00032198138
[-7  9 -5],-7,9,-5,21424.00032198138
[-7 -9 -5],-7,-9,-5,21424.00032198138
[-7  9  5],-7,9,5,21424.00032198138
[-5  9 -7],-5,9,-7,21424.00032198138
[-5  7 -9],-5,7,-9,21424.00032198138
[-7 -9  5],-7,-9,5,21424.00032198138
[-5 -9  7],-5,-9,7,21424.00032198138
[-5 -9 -7],-5,-9,-7,21424.00032198138
[-7  5  9],-7,5,9,21424.00032198138
[-9  5  7],-9,5,7,21424.00032198138
[-7 -5  9],-7,-5,9,21424.00032198138
[-7 -5 -9],-7,-5,-9,21424.00032198138
[-9  7  5],-9,7,5,21424.00032198138
[-5 -7  9],-5,-7,9,21424.00032198138
[-9 -5  7],-9,-5,7,21424.00032198138
[-9 -7 -5],-9,-7,-5,21424.00032198138
[-7  5 -9],-7,5,-9,21424.00032198138
[-9 -7  5],-9,-7,5,21424.00032198138
[-9 -5 -7],-9,-5,-7,21424.00032198138
[-5  7  9],-5,7,9,21424.00032198138
[-9  1 -9],-9,1,-9,21969.922215903258
[-9  9 -1],-9,9,-1,21969.922215903258
[-1  9  9],-1,9,9,21969.922215903258
[-9 -1 -9],-9,-1,-9,21969.922215903258
[-9 -9 -1],-9,-9,-1,21969.922215903258
[-9  9  1],-9,9,1,21969.922215903258
[-1  9 -9],-1,9,-9,21969.922215903258
[-9 -1  9],-9,-1,9,21969.922215903258
[-1 -9  9],-1,-9,9,21969.922215903258
[-9 -9  1],-9,-9,1,21969.922215903258
[-1 -9 -9],-1,-9,-9,21969.922215903258
[-9  1  9],-9,1,9,21969.922215903258
[ -8 -10  -2],-8,-10,-2,22304.339037689566
[-10  -8  -2],-10,-8,-2,22304.339037689566
[-10  -8   2],-10,-8,2,22304.339037689566
[-10   2   8],-10,2,8,22304.339037689566
[-10  -2   8],-10,-2,8,22304.339037689566
[-10   2  -8],-10,2,-8,22304.339037689566
[-10  -2  -8],-10,-2,-8,22304.339037689566
[ -8 -10   2],-8,-10,2,22304.339037689566
[-10   8   2],-10,8,2,22304.339037689566
[-2 10  8],-2,10,8,22304.339037689566
[-8 10  2],-8,10,2,22304.339037689566
[-8 10 -2],-8,10,-2,22304.339037689566
[-10   8  -2],-10,8,-2,22304.339037689566
[-8  2 10],-8,2,10,22304.339037689566
[ -8   2 -10],-8,2,-10,22304.339037689566
[ -2 -10  -8],-2,-10,-8,22304.339037689566
[ -2  -8 -10],-2,-8,-10,22304.339037689566
[-2 -8 10],-2,-8,10,22304.339037689566
[-8 -2 10],-8,-2,10,22304.339037689566
[ -8  -2 -10],-8,-2,-10,22304.339037689566
[ -2 -10   8],-2,-10,8,22304.339037689566
[-2 10 -8],-2,10,-8,22304.339037689566
[ -2   8 -10],-2,8,-10,22304.339037689566
[-2  8 10],-2,8,10,22304.339037689566
[-9  3 -9],-9,3,-9,22502.603728222664
[-9 -9  3],-9,-9,3,22502.603728222664
[-3  9 -9],-3,9,-9,22502.603728222664
[-9  9  3],-9,9,3,22502.603728222664
[-3 -9 -9],-3,-9,-9,22502.603728222664
[-9 -3 -9],-9,-3,-9,22502.603728222664
[-9 -3  9],-9,-3,9,22502.603728222664
[-9 -9 -3],-9,-9,-3,22502.603728222664
[-9  3  9],-9,3,9,22502.603728222664
[-3 -9  9],-3,-9,9,22502.603728222664
[-9  9 -3],-9,9,-3,22502.603728222664
[-3  9  9],-3,9,9,22502.603728222664
[-9  7 -7],-9,7,-7,23022.963904024207
[-9 -7  7],-9,-7,7,23022.963904024207
[-7 -7  9],-7,-7,9,23022.963904024207
[-7 -7 -9],-7,-7,-9,23022.963904024207
[-7 -9  7],-7,-9,7,23022.963904024207
[-7  7 -9],-7,7,-9,23022.963904024207
[-9 -7 -7],-9,-7,-7,23022.963904024207
[-7  9  7],-7,9,7,23022.963904024207
[-7  9 -7],-7,9,-7,23022.963904024207
[-7  7  9],-7,7,9,23022.963904024207
[-7 -9 -7],-7,-9,-7,23022.963904024207
[-9  7  7],-9,7,7,23022.963904024207
[-9 -5 -9],-9,-5,-9,23531.82014427662
[-5  9  9],-5,9,9,23531.82014427662
[-9 -9  5],-9,-9,5,23531.82014427662
[-5 -9 -9],-5,-9,-9,23531.82014427662
[-9  9  5],-9,9,5,23531.82014427662
[-5 -9  9],-5,-9,9,23531.82014427662
[-9 -5  9],-9,-5,9,23531.82014427662
[-9  9 -5],-9,9,-5,23531.82014427662
[-9  5  9],-9,5,9,23531.82014427662
[-9  5 -9],-9,5,-9,23531.82014427662
[-9 -9 -5],-9,-9,-5,23531.82014427662
[-5  9 -9],-5,9,-9,23531.82014427662
[-8 -8  8],-8,-8,8,23844.341404994728
[-8  8 -8],-8,8,-8,23844.341404994728
[-8 -8 -8],-8,-8,-8,23844.341404994728
[-8  8  8],-8,8,8,23844.341404994728
[  0 -10 -10],0,-10,-10,24336.029039564506
[ -6   8 -10],-6,8,-10,24336.029039564506
[  0 -10  10],0,-10,10,24336.029039564506
[ -6 -10  -8],-6,-10,-8,24336.029039564506
[ -6 -10   8],-6,-10,8,24336.029039564506
[ -6  -8 -10],-6,-8,-10,24336.029039564506
[-10  -8  -6],-10,-8,-6,24336.029039564506
[-6 -8 10],-6,-8,10,24336.029039564506
[-10  -8   6],-10,-8,6,24336.029039564506
[-8 10  6],-8,10,6,24336.029039564506
[-10   8   6],-10,8,6,24336.029039564506
[-8 -6 10],-8,-6,10,24336.029039564506
[-10   0  10],-10,0,10,24336.029039564506
[-10   6  -8],-10,6,-8,24336.029039564506
[-10   0 -10],-10,0,-10,24336.029039564506
[ -8   6 -10],-8,6,-10,24336.029039564506
[-8  6 10],-8,6,10,24336.029039564506
[-10   8  -6],-10,8,-6,24336.029039564506
[-10 -10   0],-10,-10,0,24336.029039564506
[-8 10 -6],-8,10,-6,24336.029039564506
[ -8  -6 -10],-8,-6,-10,24336.029039564506
[-6 10  8],-6,10,8,24336.029039564506
[-10   6   8],-10,6,8,24336.029039564506
[ -8 -10  -6],-8,-10,-6,24336.029039564506
[-10  10   0],-10,10,0,24336.029039564506
[-6 10 -8],-6,10,-8,24336.029039564506
[ -8 -10   6],-8,-10,6,24336.029039564506
[-10  -6  -8],-10,-6,-8,24336.029039564506
[-10  -6   8],-10,-6,8,24336.029039564506
[-6  8 10],-6,8,10,24336.029039564506
[-9 -7  9],-9,-7,9,24996.312456687006
[-9  9  7],-9,9,7,24996.312456687006
[-7  9  9],-7,9,9,24996.312456687006
[-7 -9  9],-7,-9,9,24996.312456687006
[-9 -9 -7],-9,-9,-7,24996.312456687006
[-9  7 -9],-9,7,-9,24996.312456687006
[-9  9 -7],-9,9,-7,24996.312456687006
[-9  7  9],-9,7,9,24996.312456687006
[-9 -7 -9],-9,-7,-9,24996.312456687006
[-9 -9  7],-9,-9,7,24996.312456687006
[-7  9 -9],-7,9,-9,24996.312456687006
[-7 -9 -9],-7,-9,-9,24996.312456687006
[-10   4  10],-10,4,10,25290.743250598414
[-10   4 -10],-10,4,-10,25290.743250598414
[-10 -10   4],-10,-10,4,25290.743250598414
[ -4  10 -10],-4,10,-10,25290.743250598414
[-10 -10  -4],-10,-10,-4,25290.743250598414
[ -4 -10 -10],-4,-10,-10,25290.743250598414
[ -4 -10  10],-4,-10,10,25290.743250598414
[-10  10   4],-10,10,4,25290.743250598414
[-4 10 10],-4,10,10,25290.743250598414
[-10  -4  10],-10,-4,10,25290.743250598414
[-10  -4 -10],-10,-4,-10,25290.743250598414
[-10  10  -4],-10,10,-4,25290.743250598414
[-9 -9  9],-9,-9,9,26824.884080619067
[-9  9  9],-9,9,9,26824.884080619067
[-9 -9 -9],-9,-9,-9,26824.884080619067
[-9  9 -9],-9,9,-9,26824.884080619067
[-10 -10   8],-10,-10,8,27959.9686771494
[-10  -8  10],-10,-8,10,27959.9686771494
[-10  10   8],-10,10,8,27959.9686771494
[-8 10 10],-8,10,10,27959.9686771494
[-10  10  -8],-10,10,-8,27959.9686771494
[-10   8  10],-10,8,10,27959.9686771494
[ -8  10 -10],-8,10,-10,27959.9686771494
[-10   8 -10],-10,8,-10,27959.9686771494
[ -8 -10 -10],-8,-10,-10,27959.9686771494
[ -8 -10  10],-8,-10,10,27959.9686771494
[-10  -8 -10],-10,-8,-10,27959.9686771494
[-10 -10  -8],-10,-10,-8,27959.9686771494
